iter	RMSE
0	103161.6358
1	95310.70862
2	88366.33772
3	82142.1008
4	76663.61718
5	71709.85889
6	67300.58965
7	63414.60503
8	59992.90812
9	56975.96264
10	54187.10853
11	51738.25331
12	49603.31794
13	47710.3175
14	46009.87442
15	44443.74164
16	43143.42739
17	41887.16801
18	40845.88378
19	39738.20903
20	38815.96109
21	38043.35306
22	37282.26022
23	36457.25217
24	35881.41681
25	35168.38255
26	34671.04247
27	34205.87274
28	33675.46596
29	33309.27845
30	32940.21253
31	32595.3049
32	32306.95322
33	32036.66434
34	31806.85595
35	31446.94544
36	31224.45344
37	30880.01659
38	30691.08578
39	30525.64805
40	30360.47614
41	30133.55728
42	29937.88794
43	29783.23137
44	29658.53741
45	29413.54553
46	29190.15407
47	29016.31673
48	28891.6244
49	28804.76739
50	28708.33445
51	28548.33847
52	28442.32701
53	28365.90246
54	28289.48012
55	28143.8215
56	28073.17705
57	27873.78369
58	27799.52015
59	27728.83698
60	27637.655
61	27441.47145
62	27377.42262
63	27337.4918
64	27271.05401
65	27185.43708
66	27092.82108
67	26990.20005
68	26942.02304
69	26850.29805
70	26782.78281
71	26662.81164
72	26627.9887
73	26576.32302
74	26525.78152
75	26477.40794
76	26439.84015
77	26385.92592
78	26338.50039
79	26303.83187
80	26244.31094
81	26213.26646
82	26103.02935
83	26018.20683
84	25981.69058
85	25954.83613
86	25905.63788
87	25876.95981
88	25846.70275
89	25765.00914
90	25680.65231
91	25608.4761
92	25550.87118
93	25514.85593
94	25490.70167
95	25466.61774
96	25444.96351
97	25420.98052
98	25338.86795
99	25318.27108
100	25292.97666
101	25274.17924
102	25198.2471
103	25184.62239
104	25111.8568
105	25062.80484
106	25049.92087
107	25007.86242
108	24969.27867
109	24953.50423
110	24933.18269
111	24913.76742
112	24903.18154
113	24871.13406
114	24847.11199
115	24828.00252
116	24806.1394
117	24777.40449
118	24744.6453
119	24731.03139
120	24696.51465
121	24674.83154
122	24643.78327
123	24616.09656
124	24608.47905
125	24589.48199
126	24533.02436
127	24520.09609
128	24507.3864
129	24467.97806
130	24459.17578
131	24448.71455
132	24433.87322
133	24407.01062
134	24382.62795
135	24359.95282
136	24341.0892
137	24304.20208
138	24293.08253
139	24271.4816
140	24250.29017
141	24233.07634
142	24221.78962
143	24215.86934
144	24199.8836
145	24185.53951
146	24157.04708
147	24137.69218
148	24122.19298
149	24116.87696
150	24108.56391
151	24094.25969
152	24082.16447
153	24070.19545
154	24061.56652
155	24042.42487
156	24024.42097
157	24017.85417
158	24008.7869
159	23996.59184
160	23987.53239
161	23969.58564
162	23957.99789
163	23952.82306
164	23911.40827
165	23897.02864
166	23886.82084
167	23873.74592
168	23857.01136
169	23845.84199
170	23817.1754
171	23810.00313
172	23800.68089
173	23789.54148
174	23782.16983
175	23771.8347
176	23763.86189
177	23752.32207
178	23736.33196
179	23714.57765
180	23698.31209
181	23694.31648
182	23676.22403
183	23668.57805
184	23658.09429
185	23652.32228
186	23637.94866
187	23628.5543
188	23614.51425
189	23606.36181
190	23598.9659
191	23592.31028
192	23577.15687
193	23569.42371
194	23560.27348
195	23535.45819
196	23524.24553
197	23517.86674
198	23507.10337
199	23487.4922
200	23475.75104
201	23468.16283
202	23461.36092
203	23450.46351
204	23441.51521
205	23431.11878
206	23428.23685
207	23424.39083
208	23414.75835
209	23406.05137
210	23403.44342
211	23388.22456
212	23382.32171
213	23373.62832
214	23360.53254
215	23343.86231
216	23334.53487
217	23324.77029
218	23316.5418
219	23296.77391
220	23290.15528
221	23282.28477
222	23276.95522
223	23266.61465
224	23261.13519
225	23259.29445
226	23241.06567
227	23238.52951
228	23235.46783
229	23229.23268
230	23220.13877
231	23212.23391
232	23197.56519
233	23181.34129
234	23174.16345
235	23156.09527
236	23137.21176
237	23128.67713
238	23126.34475
239	23115.04391
240	23106.22382
241	23103.17566
242	23093.19074
243	23083.92368
244	23077.8249
245	23067.38193
246	23064.42379
247	23059.39671
248	23051.26245
249	23046.55845
250	23037.62115
251	23034.05435
252	23024.98369
253	23018.4847
254	23002.49136
255	22991.71226
256	22977.45402
257	22972.98917
258	22960.76691
259	22956.90219
260	22951.31135
261	22947.13295
262	22938.21358
263	22922.09078
264	22914.89927
265	22910.53743
266	22899.26359
267	22893.9622
268	22890.90705
269	22883.89083
270	22875.4795
271	22864.15542
272	22857.55624
273	22852.66254
274	22845.18608
275	22839.98784
276	22835.31991
277	22830.36165
278	22825.50344
279	22824.15697
280	22820.77755
281	22818.29039
282	22814.24512
283	22809.86612
284	22787.63752
285	22785.05311
286	22776.96389
