iter	Passed	Remaining
0	896	895680
1	1122	559943
2	1333	443076
3	1548	385479
4	1727	343698
5	1936	320865
6	2166	307280
7	2388	296212
8	2589	285166
9	2854	282569
10	3122	280774
11	3509	288985
12	3715	282056
13	3967	279423
14	4259	279733
15	4624	284410
16	4896	283122
17	5154	281221
18	5430	280375
19	5732	280874
20	6021	280728
21	6340	281848
22	6631	281700
23	6928	281762
24	7246	282612
25	7496	280825
26	7726	278422
27	7988	277328
28	8246	276121
29	8517	275404
30	8801	275107
31	9041	273499
32	9319	273089
33	9815	278882
34	10044	276941
35	10294	275662
36	10519	273793
37	10730	271655
38	10918	269049
39	11131	267157
40	11319	264764
41	11584	264245
42	11766	261874
43	11990	260529
44	12164	258154
45	12373	256618
46	12561	254705
47	12755	252977
48	12958	251495
49	13133	249527
50	13370	248802
51	13559	247208
52	13755	245782
53	13967	244697
54	14178	243617
55	14429	243233
56	14662	242581
57	14897	241953
58	15131	241336
59	15335	240250
60	15532	239102
61	15744	238198
62	15926	236872
63	16093	235374
64	16282	234218
65	16498	233472
66	16756	233337
67	16941	232204
68	17122	231034
69	17337	230334
70	17523	229290
71	17722	228417
72	17911	227446
73	18112	226653
74	18296	225651
75	18488	224785
76	18677	223887
77	18875	223119
78	19057	222174
79	19233	221190
80	19430	220452
81	19604	219476
82	19821	218991
83	20009	218196
84	20234	217821
85	20423	217061
86	20655	216763
87	20833	215907
88	21029	215258
89	21244	214803
90	21435	214121
91	21630	213480
92	21845	213049
93	22034	212376
94	22217	211648
95	22400	210940
96	22580	210209
97	22758	209470
98	22955	208919
99	23138	208247
100	23320	207576
101	23504	206929
102	23682	206243
103	23854	205513
104	24066	205136
105	24250	204525
106	24435	203934
107	24627	203403
108	24837	203026
109	25000	202278
110	25195	201794
111	25390	201311
112	25594	200903
113	25786	200412
114	26002	200102
115	26204	199695
116	26439	199537
117	26652	199219
118	26891	199085
119	27091	198668
120	27293	198269
121	27502	197928
122	27712	197595
123	27902	197119
124	28077	196544
125	28273	196120
126	28477	195754
127	28674	195342
128	28863	194883
129	29077	194593
130	29252	194049
131	29475	193826
132	29687	193523
133	29886	193146
134	30084	192765
135	30258	192230
136	30468	191928
137	30806	192431
138	31049	192330
139	31276	192126
140	31486	191820
141	31725	191690
142	31982	191671
143	32194	191377
144	32427	191208
145	32663	191058
146	32890	190855
147	33113	190627
148	33318	190296
149	33507	189875
150	33737	189690
151	33915	189215
152	34094	188746
153	34285	188347
154	34473	187937
155	34661	187529
156	34853	187141
157	35033	186697
158	35230	186344
159	35417	185939
160	35592	185480
161	35785	185112
162	35947	184590
163	36119	184122
164	36316	183782
165	36529	183527
166	36790	183512
167	37013	183305
168	37227	183052
169	37450	182847
170	37691	182728
171	37900	182448
172	38116	182210
173	38334	181980
174	38556	181767
175	38808	181695
176	39074	181686
177	39278	181388
178	39471	181039
179	39692	180821
180	39874	180426
181	40054	180025
182	40254	179713
183	40446	179372
184	40645	179061
185	40820	178644
186	41044	178443
187	41206	177977
188	41405	177671
189	41572	177230
190	41756	176863
191	41921	176421
192	42110	176076
193	42278	175650
194	42469	175324
195	42649	174950
196	42845	174644
197	43048	174370
198	43247	174078
199	43451	173806
200	43651	173518
201	43834	173167
202	44028	172861
203	44235	172605
204	44479	172492
205	44785	172620
206	44999	172390
207	45185	172051
208	45370	171714
209	45550	171355
210	45717	170952
211	45906	170634
212	46085	170277
213	46278	169975
214	46454	169611
215	46645	169306
216	46811	168908
217	47023	168680
218	47205	168344
219	47406	168078
220	47581	167718
221	47765	167394
222	47929	167002
223	48120	166702
224	48289	166328
225	48466	165988
226	48649	165666
227	48829	165336
228	49000	164976
229	49196	164701
230	49431	164557
231	49626	164280
232	49817	163992
233	50047	163831
234	50255	163598
235	50484	163431
236	50710	163258
237	50906	162987
238	51078	162638
239	51280	162389
240	51461	162071
241	51636	161738
242	51829	161459
243	52000	161114
244	52190	160832
245	52370	160518
246	52550	160203
247	52719	159860
248	52913	159589
249	53093	159280
250	53307	159072
251	53487	158765
252	53690	158524
253	53873	158225
254	54104	158068
255	54308	157834
256	54658	158019
257	54906	157909
258	55135	157743
259	55384	157631
260	55590	157399
261	55815	157220
262	56095	157194
263	56429	157317
264	56654	157136
265	56843	156853
266	57050	156620
267	57236	156332
268	57439	156090
269	57625	155802
270	57812	155519
271	58040	155343
272	58222	155047
273	58417	154786
274	58623	154554
275	58813	154277
276	58994	153981
277	59188	153720
278	59379	153449
279	59561	153159
280	59732	152838
281	59918	152559
282	60132	152349
283	60325	152089
284	60545	151895
285	60726	151603
286	61000	151544
